Sales Order ID;Order Date;Ship Date ;Sales Order Number;Purchase Order Number;Account Number;Bill To Address ID;Sub Total  ;Tax Amt   ;Freight  ;Total Due;File Name
43678;7/1/2005;7/8/2005;SO43678           ;PO10817150168        ;10-4020-000203;1021;9799.9243;942.074;294.3981;11036.3964;File 01
43679;7/1/2005;7/8/2005;SO43679           ;PO10527142759        ;10-4020-000480;525;1316.0575;125.8032;39.3135;1481.1742;File 01
43680;7/1/2005;7/8/2005;SO43680           ;PO10730130087        ;10-4020-000491;1069;11397.4992;1093.6394;341.7623;12832.9009;File 01
43681;7/1/2005;7/8/2005;SO43681           ;PO1189177803         ;10-4020-000423;955;13787.5434;1323.0668;413.4584;15524.0686;File 01
43682;7/1/2005;7/8/2005;SO43682           ;PO1566124200         ;10-4020-000486;808;3875.7229;371.8002;116.1876;4363.7107;File 01
43683;7/1/2005;7/8/2005;SO43683           ;PO2552113807         ;10-4020-000506;889;42813.4333;4107.1489;1283.484;48204.0662;File 01
43684;7/1/2005;7/8/2005;SO43684           ;PO3393188842         ;10-4020-000549;971;5596.4705;537.2612;167.8941;6301.6258;File 01
43685;7/1/2005;7/8/2005;SO43685           ;PO4176124783         ;10-4020-000458;958;2736.5678;263.201;82.2503;3082.0191;File 01
43686;7/1/2005;7/8/2005;SO43686           ;PO5075125561         ;10-4020-000344;871;3463.2998;332.4768;103.899;3899.6756;File 01
43687;7/1/2005;7/8/2005;SO43687           ;PO4959110829         ;10-4020-000269;783;1258.3767;120.8042;37.7513;1416.9322;File 01
43688;7/1/2005;7/8/2005;SO43688           ;PO5365136389         ;10-4020-000161;771;12718.0844;1222.8838;382.1512;14323.1194;File 01
43689;7/1/2005;7/8/2005;SO43689           ;PO5626159507         ;10-4020-000166;578;33997.3702;3271.4942;1022.3419;38291.2063;File 01
43690;7/1/2005;7/8/2005;SO43690           ;PO6235146326         ;10-4020-000431;801;1297.5901;124.2027;38.8133;1460.6061;File 01
43691;7/1/2005;7/8/2005;SO43691           ;PO6409111675         ;10-4020-000292;592;874.794;83.9802;26.2438;985.018;File 01
43692;7/1/2005;7/8/2005;SO43692           ;PO7859187017         ;10-4020-000221;1024;38510.8973;3696.3979;1155.1244;43362.4196;File 01
43693;7/1/2005;7/8/2005;SO43693           ;PO8120182325         ;10-4020-000485;807;20541.4072;1969.5564;615.4864;23126.45;File 01
43694;7/1/2005;7/8/2005;SO43694           ;PO9657130250         ;10-4020-000315;943;20645.634;1978.3257;618.2268;23242.1865;File 01
43695;7/1/2005;7/8/2005;SO43695           ;PO10179176559        ;10-4020-000027;911;39373.781;3787.4632;1183.5823;44344.8265;File 01
43696;7/1/2005;7/8/2005;SO43696           ;PO9947131800         ;10-4020-000603;977;419.4589;40.2681;12.5838;472.3108;File 01
43697;7/1/2005;7/8/2005;SO43697           ;                     ;10-4030-021768;23148;3578.27;286.2616;89.4568;3953.9884;File 01
43698;7/1/2005;7/8/2005;SO43698           ;                     ;10-4030-028389;24593;3399.99;271.9992;84.9998;3756.989;File 01
43699;7/1/2005;7/8/2005;SO43699           ;                     ;10-4030-025863;19613;3399.99;271.9992;84.9998;3756.989;File 01
43700;7/1/2005;7/8/2005;SO43700           ;                     ;10-4030-014501;20278;699.0982;55.9279;17.4775;772.5036;File 01
43701;7/1/2005;7/8/2005;SO43701           ;                     ;10-4030-011003;20425;3399.99;271.9992;84.9998;3756.989;File 01
43702;7/2/2005;7/9/2005;SO43702           ;                     ;10-4030-027645;22584;3578.27;286.2616;89.4568;3953.9884;File 01
43703;7/2/2005;7/9/2005;SO43703           ;                     ;10-4030-016624;23967;3578.27;286.2616;89.4568;3953.9884;File 01
43704;7/2/2005;7/9/2005;SO43704           ;                     ;10-4030-011005;16025;3374.99;269.9992;84.3748;3729.364;File 01
43705;7/2/2005;7/9/2005;SO43705           ;                     ;10-4030-011011;27345;3399.99;271.9992;84.9998;3756.989;File 01
43706;7/3/2005;7/10/2005;SO43706           ;                     ;10-4030-027621;13264;3578.27;286.2616;89.4568;3953.9884;File 01
43707;7/3/2005;7/10/2005;SO43707           ;                     ;10-4030-027616;20923;3578.27;286.2616;89.4568;3953.9884;File 01
43708;7/3/2005;7/10/2005;SO43708           ;                     ;10-4030-020042;18427;699.0982;55.9279;17.4775;772.5036;File 01
43709;7/3/2005;7/10/2005;SO43709           ;                     ;10-4030-016351;13951;3578.27;286.2616;89.4568;3953.9884;File 01
43710;7/3/2005;7/10/2005;SO43710           ;                     ;10-4030-016517;25446;3578.27;286.2616;89.4568;3953.9884;File 01
43711;7/4/2005;7/11/2005;SO43711           ;                     ;10-4030-027606;18404;3578.27;286.2616;89.4568;3953.9884;File 01
43712;7/4/2005;7/11/2005;SO43712           ;                     ;10-4030-013513;21867;3578.27;286.2616;89.4568;3953.9884;File 01
43713;7/5/2005;7/12/2005;SO43713           ;                     ;10-4030-027601;11855;3578.27;286.2616;89.4568;3953.9884;File 01
43714;7/5/2005;7/12/2005;SO43714           ;                     ;10-4030-013591;15169;3578.27;286.2616;89.4568;3953.9884;File 01
43715;7/5/2005;7/12/2005;SO43715           ;                     ;10-4030-016483;28213;3578.27;286.2616;89.4568;3953.9884;File 01
43716;7/5/2005;7/12/2005;SO43716           ;                     ;10-4030-016529;23557;3578.27;286.2616;89.4568;3953.9884;File 01
43717;7/5/2005;7/12/2005;SO43717           ;                     ;10-4030-025249;11809;699.0982;55.9279;17.4775;772.5036;File 01
43718;7/6/2005;7/13/2005;SO43718           ;                     ;10-4030-027668;25346;3578.27;286.2616;89.4568;3953.9884;File 01
43719;7/6/2005;7/13/2005;SO43719           ;                     ;10-4030-027612;13854;3578.27;286.2616;89.4568;3953.9884;File 01
43720;7/6/2005;7/13/2005;SO43720           ;                     ;10-4030-013264;18584;3578.27;286.2616;89.4568;3953.9884;File 01
43721;7/6/2005;7/13/2005;SO43721           ;                     ;10-4030-013590;22146;3578.27;286.2616;89.4568;3953.9884;File 01
43722;7/7/2005;7/14/2005;SO43722           ;                     ;10-4030-013581;23990;3578.27;286.2616;89.4568;3953.9884;File 01
43723;7/7/2005;7/14/2005;SO43723           ;                     ;10-4030-014520;12708;699.0982;55.9279;17.4775;772.5036;File 01
43724;7/7/2005;7/14/2005;SO43724           ;                     ;10-4030-016520;25572;3578.27;286.2616;89.4568;3953.9884;File 01
43725;7/8/2005;7/15/2005;SO43725           ;                     ;10-4030-013258;23444;3578.27;286.2616;89.4568;3953.9884;File 01
43726;7/8/2005;7/15/2005;SO43726           ;                     ;10-4030-014560;25989;699.0982;55.9279;17.4775;772.5036;File 01
43727;7/8/2005;7/15/2005;SO43727           ;                     ;10-4030-016607;15502;3578.27;286.2616;89.4568;3953.9884;File 01
43728;7/9/2005;7/16/2005;SO43728           ;                     ;10-4030-027666;20616;3578.27;286.2616;89.4568;3953.9884;File 01
43729;7/9/2005;7/16/2005;SO43729           ;                     ;10-4030-011238;12420;3399.99;271.9992;84.9998;3756.989;File 01
43730;7/9/2005;7/16/2005;SO43730           ;                     ;10-4030-025861;23733;3399.99;271.9992;84.9998;3756.989;File 01
43731;7/9/2005;7/16/2005;SO43731           ;                     ;10-4030-016629;14019;3578.27;286.2616;89.4568;3953.9884;File 01
43732;7/9/2005;7/16/2005;SO43732           ;                     ;10-4030-011025;21635;3374.99;269.9992;84.3748;3729.364;File 01
43733;7/9/2005;7/16/2005;SO43733           ;                     ;10-4030-027577;24572;3578.27;286.2616;89.4568;3953.9884;File 01
43734;7/10/2005;7/17/2005;SO43734           ;                     ;10-4030-027604;23224;3578.27;286.2616;89.4568;3953.9884;File 01
43735;7/10/2005;7/17/2005;SO43735           ;                     ;10-4030-016522;25384;3578.27;286.2616;89.4568;3953.9884;File 01
43736;7/10/2005;7/17/2005;SO43736           ;                     ;10-4030-011002;20336;3399.99;271.9992;84.9998;3756.989;File 01
43737;7/11/2005;7/18/2005;SO43737           ;                     ;10-4030-013261;29772;3578.27;286.2616;89.4568;3953.9884;File 01
43738;7/11/2005;7/18/2005;SO43738           ;                     ;10-4030-011606;26167;3578.27;286.2616;89.4568;3953.9884;File 01
43739;7/11/2005;7/18/2005;SO43739           ;                     ;10-4030-013563;29262;3578.27;286.2616;89.4568;3953.9884;File 01
43740;7/11/2005;7/18/2005;SO43740           ;                     ;10-4030-016527;28420;3578.27;286.2616;89.4568;3953.9884;File 01
43741;7/12/2005;7/19/2005;SO43741           ;                     ;10-4030-027671;13036;3578.27;286.2616;89.4568;3953.9884;File 01
43742;7/12/2005;7/19/2005;SO43742           ;                     ;10-4030-013576;20966;3578.27;286.2616;89.4568;3953.9884;File 01
43743;7/12/2005;7/19/2005;SO43743           ;                     ;10-4030-011007;12909;3399.99;271.9992;84.9998;3756.989;File 01
43744;7/12/2005;7/19/2005;SO43744           ;                     ;10-4030-016631;12423;3578.27;286.2616;89.4568;3953.9884;File 01
43745;7/13/2005;7/20/2005;SO43745           ;                     ;10-4030-016514;25018;3578.27;286.2616;89.4568;3953.9884;File 01
43746;7/13/2005;7/20/2005;SO43746           ;                     ;10-4030-016616;28214;3578.27;286.2616;89.4568;3953.9884;File 01
43747;7/14/2005;7/21/2005;SO43747           ;                     ;10-4030-027623;27241;3578.27;286.2616;89.4568;3953.9884;File 01
43748;7/14/2005;7/21/2005;SO43748           ;                     ;10-4030-027625;16663;3578.27;286.2616;89.4568;3953.9884;File 01
43749;7/14/2005;7/21/2005;SO43749           ;                     ;10-4030-027636;17878;3578.27;286.2616;89.4568;3953.9884;File 01
43750;7/14/2005;7/21/2005;SO43750           ;                     ;10-4030-011591;26694;3578.27;286.2616;89.4568;3953.9884;File 01
43751;7/14/2005;7/21/2005;SO43751           ;                     ;10-4030-011592;17421;3578.27;286.2616;89.4568;3953.9884;File 01
43752;7/14/2005;7/21/2005;SO43752           ;                     ;10-4030-013265;25970;3578.27;286.2616;89.4568;3953.9884;File 01
43753;7/14/2005;7/21/2005;SO43753           ;                     ;10-4030-016482;19434;3578.27;286.2616;89.4568;3953.9884;File 01
43754;7/15/2005;7/22/2005;SO43754           ;                     ;10-4030-027617;18700;3578.27;286.2616;89.4568;3953.9884;File 01
43755;7/15/2005;7/22/2005;SO43755           ;                     ;10-4030-027670;21785;3578.27;286.2616;89.4568;3953.9884;File 01
43756;7/15/2005;7/22/2005;SO43756           ;                     ;10-4030-019941;12565;699.0982;55.9279;17.4775;772.5036;File 01
43757;7/15/2005;7/22/2005;SO43757           ;                     ;10-4030-011017;11541;3374.99;269.9992;84.3748;3729.364;File 01
43758;7/16/2005;7/23/2005;SO43758           ;                     ;10-4030-027646;14400;3578.27;286.2616;89.4568;3953.9884;File 01
43759;7/16/2005;7/23/2005;SO43759           ;                     ;10-4030-013257;21516;3578.27;286.2616;89.4568;3953.9884;File 01
43760;7/16/2005;7/23/2005;SO43760           ;                     ;10-4030-016352;11694;3578.27;286.2616;89.4568;3953.9884;File 01
43761;7/16/2005;7/23/2005;SO43761           ;                     ;10-4030-016493;24449;3578.27;286.2616;89.4568;3953.9884;File 01
43762;7/17/2005;7/24/2005;SO43762           ;                     ;10-4030-027578;19011;3578.27;286.2616;89.4568;3953.9884;File 01
43763;7/17/2005;7/24/2005;SO43763           ;                     ;10-4030-016525;13961;3578.27;286.2616;89.4568;3953.9884;File 01
43764;7/17/2005;7/24/2005;SO43764           ;                     ;10-4030-016612;18740;3578.27;286.2616;89.4568;3953.9884;File 01
43765;7/17/2005;7/24/2005;SO43765           ;                     ;10-4030-011010;15412;3399.99;271.9992;84.9998;3756.989;File 01
43766;7/18/2005;7/25/2005;SO43766           ;                     ;10-4030-016518;26446;3578.27;286.2616;89.4568;3953.9884;File 01
43767;7/18/2005;7/25/2005;SO43767           ;                     ;10-4030-011001;14489;3374.99;269.9992;84.3748;3729.364;File 01
43768;7/19/2005;7/26/2005;SO43768           ;                     ;10-4030-027649;24209;3578.27;286.2616;89.4568;3953.9884;File 01
43769;7/19/2005;7/26/2005;SO43769           ;                     ;10-4030-021659;12365;3578.27;286.2616;89.4568;3953.9884;File 01
43770;7/19/2005;7/26/2005;SO43770           ;                     ;10-4030-027614;21039;3578.27;286.2616;89.4568;3953.9884;File 01
43771;7/19/2005;7/26/2005;SO43771           ;                     ;10-4030-014559;21657;699.0982;55.9279;17.4775;772.5036;File 01
43772;7/19/2005;7/26/2005;SO43772           ;                     ;10-4030-016524;15700;3578.27;286.2616;89.4568;3953.9884;File 01
43773;7/19/2005;7/26/2005;SO43773           ;                     ;10-4030-016526;19998;3578.27;286.2616;89.4568;3953.9884;File 01
43774;7/19/2005;7/26/2005;SO43774           ;                     ;10-4030-016348;20184;3578.27;286.2616;89.4568;3953.9884;File 01
43775;7/19/2005;7/26/2005;SO43775           ;                     ;10-4030-011027;14561;3399.99;271.9992;84.9998;3756.989;File 01
43776;7/20/2005;7/27/2005;SO43776           ;                     ;10-4030-013260;15402;3578.27;286.2616;89.4568;3953.9884;File 01
43777;7/20/2005;7/27/2005;SO43777           ;                     ;10-4030-016515;24873;3578.27;286.2616;89.4568;3953.9884;File 01
43778;7/20/2005;7/27/2005;SO43778           ;                     ;10-4030-011018;16433;3399.99;271.9992;84.9998;3756.989;File 01
43779;7/20/2005;7/27/2005;SO43779           ;                     ;10-4030-025252;20850;699.0982;55.9279;17.4775;772.5036;File 01
43780;7/21/2005;7/28/2005;SO43780           ;                     ;10-4030-011599;25850;3578.27;286.2616;89.4568;3953.9884;File 01
43781;7/21/2005;7/28/2005;SO43781           ;                     ;10-4030-016495;22857;3578.27;286.2616;89.4568;3953.9884;File 01
43782;7/21/2005;7/28/2005;SO43782           ;                     ;10-4030-016516;13386;3578.27;286.2616;89.4568;3953.9884;File 01
43783;7/21/2005;7/28/2005;SO43783           ;                     ;10-4030-016620;26601;3578.27;286.2616;89.4568;3953.9884;File 01
43784;7/22/2005;7/29/2005;SO43784           ;                     ;10-4030-027667;12491;3578.27;286.2616;89.4568;3953.9884;File 01
43785;7/22/2005;7/29/2005;SO43785           ;                     ;10-4030-011601;17236;3578.27;286.2616;89.4568;3953.9884;File 01
43786;7/22/2005;7/29/2005;SO43786           ;                     ;10-4030-011607;23683;3578.27;286.2616;89.4568;3953.9884;File 01
43787;7/22/2005;7/29/2005;SO43787           ;                     ;10-4030-029385;29348;3399.99;271.9992;84.9998;3756.989;File 01
43788;7/22/2005;7/29/2005;SO43788           ;                     ;10-4030-011239;25489;3374.99;269.9992;84.3748;3729.364;File 01
43789;7/22/2005;7/29/2005;SO43789           ;                     ;10-4030-025865;21950;3374.99;269.9992;84.3748;3729.364;File 01
43790;7/22/2005;7/29/2005;SO43790           ;                     ;10-4030-025857;21871;3399.99;271.9992;84.9998;3756.989;File 01
43791;7/22/2005;7/29/2005;SO43791           ;                     ;10-4030-016484;11580;3578.27;286.2616;89.4568;3953.9884;File 01
43792;7/22/2005;7/29/2005;SO43792           ;                     ;10-4030-016623;14105;3578.27;286.2616;89.4568;3953.9884;File 01
43793;7/22/2005;7/29/2005;SO43793           ;                     ;10-4030-011000;22601;3399.99;271.9992;84.9998;3756.989;File 01
43794;7/22/2005;7/29/2005;SO43794           ;                     ;10-4030-011029;24713;3399.99;271.9992;84.9998;3756.989;File 01
43795;7/23/2005;7/30/2005;SO43795           ;                     ;10-4030-027615;12290;3578.27;286.2616;89.4568;3953.9884;File 01
43796;7/23/2005;7/30/2005;SO43796           ;                     ;10-4030-017956;11860;699.0982;55.9279;17.4775;772.5036;File 01
43797;7/23/2005;7/30/2005;SO43797           ;                     ;10-4030-016345;11578;3578.27;286.2616;89.4568;3953.9884;File 01
43798;7/23/2005;7/30/2005;SO43798           ;                     ;10-4030-016521;17493;3578.27;286.2616;89.4568;3953.9884;File 01
43799;7/23/2005;7/30/2005;SO43799           ;                     ;10-4030-016636;23813;3578.27;286.2616;89.4568;3953.9884;File 01
43800;7/24/2005;7/31/2005;SO43800           ;                     ;10-4030-021710;16244;3578.27;286.2616;89.4568;3953.9884;File 01
43801;7/24/2005;7/31/2005;SO43801           ;                     ;10-4030-013583;22676;3578.27;286.2616;89.4568;3953.9884;File 01
43802;7/24/2005;7/31/2005;SO43802           ;                     ;10-4030-011593;15981;3578.27;286.2616;89.4568;3953.9884;File 01
43803;7/25/2005;8/1/2005;SO43803           ;                     ;10-4030-021741;17092;3578.27;286.2616;89.4568;3953.9884;File 01
43804;7/25/2005;8/1/2005;SO43804           ;                     ;10-4030-013585;18048;3578.27;286.2616;89.4568;3953.9884;File 01
43805;7/25/2005;8/1/2005;SO43805           ;                     ;10-4030-014510;26084;699.0982;55.9279;17.4775;772.5036;File 01
43806;7/25/2005;8/1/2005;SO43806           ;                     ;10-4030-016523;26735;3578.27;286.2616;89.4568;3953.9884;File 01
43807;7/26/2005;8/2/2005;SO43807           ;                     ;10-4030-011611;15499;3578.27;286.2616;89.4568;3953.9884;File 01
43808;7/26/2005;8/2/2005;SO43808           ;                     ;10-4030-013259;24940;3578.27;286.2616;89.4568;3953.9884;File 01
43809;7/26/2005;8/2/2005;SO43809           ;                     ;10-4030-016350;12891;3578.27;286.2616;89.4568;3953.9884;File 01
43810;7/26/2005;8/2/2005;SO43810           ;                     ;10-4030-011004;20971;3399.99;271.9992;84.9998;3756.989;File 01
43811;7/26/2005;8/2/2005;SO43811           ;                     ;10-4030-011026;11877;3399.99;271.9992;84.9998;3756.989;File 01
43812;7/27/2005;8/3/2005;SO43812           ;                     ;10-4030-027662;13852;3578.27;286.2616;89.4568;3953.9884;File 01
43813;7/27/2005;8/3/2005;SO43813           ;                     ;10-4030-028390;16896;3374.99;269.9992;84.3748;3729.364;File 01
43814;7/27/2005;8/3/2005;SO43814           ;                     ;10-4030-025866;21939;3374.99;269.9992;84.3748;3729.364;File 01
43815;7/27/2005;8/3/2005;SO43815           ;                     ;10-4030-016494;15915;3578.27;286.2616;89.4568;3953.9884;File 01
43816;7/27/2005;8/3/2005;SO43816           ;                     ;10-4030-016496;21277;3578.27;286.2616;89.4568;3953.9884;File 01
43817;7/27/2005;8/3/2005;SO43817           ;                     ;10-4030-016519;12674;3578.27;286.2616;89.4568;3953.9884;File 01
43818;7/27/2005;8/3/2005;SO43818           ;                     ;10-4030-016528;16539;3578.27;286.2616;89.4568;3953.9884;File 01
43819;7/27/2005;8/3/2005;SO43819           ;                     ;10-4030-011006;15264;3399.99;271.9992;84.9998;3756.989;File 01
43820;7/28/2005;8/4/2005;SO43820           ;                     ;10-4030-027651;24200;3578.27;286.2616;89.4568;3953.9884;File 01
43821;7/28/2005;8/4/2005;SO43821           ;                     ;10-4030-027663;24836;3578.27;286.2616;89.4568;3953.9884;File 01
43822;7/28/2005;8/4/2005;SO43822           ;                     ;10-4030-027669;20019;3578.27;286.2616;89.4568;3953.9884;File 01
43823;7/28/2005;8/4/2005;SO43823           ;                     ;10-4030-019942;15988;699.0982;55.9279;17.4775;772.5036;File 01
43824;7/28/2005;8/4/2005;SO43824           ;                     ;10-4030-014558;11804;699.0982;55.9279;17.4775;772.5036;File 01
43825;7/28/2005;8/4/2005;SO43825           ;                     ;10-4030-016349;16955;3578.27;286.2616;89.4568;3953.9884;File 01
43826;7/28/2005;8/4/2005;SO43826           ;                     ;10-4030-011008;23743;3374.99;269.9992;84.3748;3729.364;File 01
43827;7/28/2005;8/4/2005;SO43827           ;                     ;10-4030-025250;27524;699.0982;55.9279;17.4775;772.5036;File 01
43828;7/29/2005;8/5/2005;SO43828           ;                     ;10-4030-027605;13129;3578.27;286.2616;89.4568;3953.9884;File 01
43829;7/29/2005;8/5/2005;SO43829           ;                     ;10-4030-027611;24776;3578.27;286.2616;89.4568;3953.9884;File 01
43830;7/29/2005;8/5/2005;SO43830           ;                     ;10-4030-016347;18564;3578.27;286.2616;89.4568;3953.9884;File 01
43831;7/29/2005;8/5/2005;SO43831           ;                     ;10-4030-011028;24158;3374.99;269.9992;84.3748;3729.364;File 01
43832;7/29/2005;8/5/2005;SO43832           ;                     ;10-4030-013584;23837;3578.27;286.2616;89.4568;3953.9884;File 01
43833;7/30/2005;8/6/2005;SO43833           ;                     ;10-4030-021727;16752;3578.27;286.2616;89.4568;3953.9884;File 01
43834;7/30/2005;8/6/2005;SO43834           ;                     ;10-4030-028393;15471;3374.99;269.9992;84.3748;3729.364;File 01
43835;7/30/2005;8/6/2005;SO43835           ;                     ;10-4030-019802;17401;3374.99;269.9992;84.3748;3729.364;File 01
43836;7/30/2005;8/6/2005;SO43836           ;                     ;10-4030-026620;19261;699.0982;55.9279;17.4775;772.5036;File 01
43837;7/30/2005;8/6/2005;SO43837           ;                     ;10-4030-011009;29335;3374.99;269.9992;84.3748;3729.364;File 01
43838;7/31/2005;8/7/2005;SO43838           ;                     ;10-4030-027641;16330;3578.27;286.2616;89.4568;3953.9884;File 01
43839;7/31/2005;8/7/2005;SO43839           ;                     ;10-4030-027673;20037;3578.27;286.2616;89.4568;3953.9884;File 01
43840;7/31/2005;8/7/2005;SO43840           ;                     ;10-4030-017957;25544;699.0982;55.9279;17.4775;772.5036;File 01
43841;7/31/2005;8/7/2005;SO43841           ;                     ;10-4030-013406;28149;3578.27;286.2616;89.4568;3953.9884;File 01
43842;7/31/2005;8/7/2005;SO43842           ;                     ;10-4030-016630;18492;3578.27;286.2616;89.4568;3953.9884;File 01
43843;8/1/2005;8/8/2005;SO43843           ;PO19923118772        ;10-4020-000018;756;32940.1556;3174.1988;991.9371;37106.2915;File 01
43844;8/1/2005;8/8/2005;SO43844           ;PO19691138342        ;10-4020-000353;503;20249.94;1943.9942;607.4982;22801.4324;File 01
43845;8/1/2005;8/8/2005;SO43845           ;PO19546184286        ;10-4020-000206;930;8580.0739;823.6669;257.3959;9661.1367;File 01
43846;8/1/2005;8/8/2005;SO43846           ;PO19430112391        ;10-4020-000318;498;919.5201;90.6637;28.3324;1038.5162;File 01
43847;8/1/2005;8/8/2005;SO43847           ;PO19227161888        ;10-4020-000210;480;908.8209;86.9292;27.1654;1022.9155;File 01
43848;8/1/2005;8/8/2005;SO43848           ;PO18908190536        ;10-4020-000164;851;18269.946;1753.9148;548.0984;20571.9592;File 01
43849;8/1/2005;8/8/2005;SO43849           ;PO18676186169        ;10-4020-000697;1104;20544.7015;1969.9765;615.6177;23130.2957;File 01
43850;8/1/2005;8/8/2005;SO43850           ;PO18415143340        ;10-4020-000191;476;10183.7952;982.9377;307.168;11473.9009;File 01
43851;8/1/2005;8/8/2005;SO43851           ;PO18386167654        ;10-4020-000558;816;6783.7679;651.4975;203.593;7638.8584;File 01
43852;8/1/2005;8/8/2005;SO43852           ;PO17864179720        ;10-4020-000568;539;2024.994;194.3994;60.7498;2280.1432;File 01
43853;8/1/2005;8/8/2005;SO43853           ;PO18270155899        ;10-4020-000011;446;26354.922;2530.0725;790.6477;29675.6422;File 01
43854;8/1/2005;8/8/2005;SO43854           ;PO17777139245        ;10-4020-000208;478;1749.588;167.9604;52.4876;1970.036;File 01
43855;8/1/2005;8/8/2005;SO43855           ;PO17748116016        ;10-4020-000102;462;10993.3516;1058.7224;330.8508;12382.9248;File 01
43856;8/1/2005;8/8/2005;SO43856           ;PO17313123131        ;10-4020-000389;509;2036.394;195.3874;61.0586;2292.84;File 01
43857;8/1/2005;8/8/2005;SO43857           ;PO16733124458        ;10-4020-000533;534;7186.5371;689.052;215.3287;8090.9178;File 01
43858;8/1/2005;8/8/2005;SO43858           ;PO16791124272        ;10-4020-000036;758;13694.3494;1317.0672;411.5835;15423.0001;File 01
43859;8/1/2005;8/8/2005;SO43859           ;PO16762199940        ;10-4020-000259;1032;3911.5991;375.2443;117.2639;4404.1073;File 01
43860;8/1/2005;8/8/2005;SO43860           ;PO16646146654        ;10-4020-000001;832;10993.3942;1057.2843;330.4013;12381.0798;File 01
43861;8/1/2005;8/8/2005;SO43861           ;PO16327172067        ;10-4020-000584;974;23401.1062;2244.4088;701.3777;26346.8927;File 01
43862;8/1/2005;8/8/2005;SO43862           ;PO16211194171        ;10-4020-000099;919;31000.7804;2987.8703;933.7095;34922.3602;File 01
43863;8/1/2005;8/8/2005;SO43863           ;PO15747169584        ;10-4020-000471;611;1718.8983;164.9658;51.5518;1935.4159;File 01
43864;8/1/2005;8/8/2005;SO43864           ;PO16037151094        ;10-4020-000384;1052;38474.3572;3703.8969;1157.4678;43335.7219;File 01
43865;8/1/2005;8/8/2005;SO43865           ;PO15689147174        ;10-4020-000328;596;13196.0548;1268.2589;396.3309;14860.6446;File 01
43866;8/1/2005;8/8/2005;SO43866           ;PO14529112624        ;10-4020-000289;864;4076.388;391.2268;122.2584;4589.8732;File 01
43867;8/1/2005;8/8/2005;SO43867           ;PO14471123403        ;10-4020-000145;848;32673.0446;3149.2911;984.1535;36806.4892;File 01
43868;8/1/2005;8/8/2005;SO43868           ;PO14848158712        ;10-4020-000478;523;2146.962;206.1084;64.4089;2417.4793;File 01
43869;8/1/2005;8/8/2005;SO43869           ;PO14500145975        ;10-4020-000650;1099;49193.9864;4734.607;1479.5647;55408.1581;File 01
